ID_AS;Chr_AS;Pos_init_AS;Pos_end_AS;Strand_AS;Name_As;Name_Sense;Chr_Sense;Pos_init_Sense;Pos_end_Sense;Strand_Sense;Id_Sense
ENSG00000258655;14;32074946;32076793;-1;ARHGAP5-AS1;ARHGAP5;14;32076114;32159728;1;ENSG00000100852
ENSG00000257636;14;30437992;30573629;-1;G2E3-AS1;G2E3;14;30559158;30620064;1;ENSG00000092140
ENSG00000255568;21;39313935;39314962;1;BRWD1-AS2;BRWD1;21;39184176;39321559;-1;ENSG00000185658
ENSG00000238141;21;39315707;39323218;1;BRWD1-AS1;BRWD1;21;39184176;39321559;-1;ENSG00000185658
ENSG00000230319;22;43038585;43052366;1;TTLL1-AS1;TTLL1;22;43039516;43089419;-1;ENSG00000100271
ENSG00000236272;22;43212674;43213661;1;SCUBE1-AS2;SCUBE1;22;43197280;43343372;-1;ENSG00000159307
ENSG00000235032;20;57214872;57215866;1;BMP7-AS1;BMP7;20;57168753;57266641;-1;ENSG00000101144
ENSG00000261105;13;75604700;75635994;-1;LMO7-AS1;LMO7;13;75620434;75859870;1;ENSG00000136153
ENSG00000170919;13;45341345;45417975;1;TPT1-AS1;TPT1;13;45333471;45341284;-1;ENSG00000133112
ENSG00000184809;21;39597147;39612910;-1;B3GALT5-AS1;B3GALT5;21;39556442;39673137;1;ENSG00000183778
ENSG00000235513;22;41207592;41228500;-1;L3MBTL2-AS1;L3MBTL2;22;41205282;41231271;1;ENSG00000100395
ENSG00000235123;21;40383083;40385358;1;DSCAM-AS1;DSCAM;21;40010999;40847158;-1;ENSG00000171587
ENSG00000251015;13;45418162;45420371;1;SLC25A30-AS1;SLC25A30;13;45393316;45418455;-1;ENSG00000174032
ENSG00000204832;10;17386919;17445758;1;ST8SIA6-AS1;ST8SIA6;10;17315421;17454595;-1;ENSG00000148488
ENSG00000223843;22;43516107;43560063;1;EFCAB6-AS1;EFCAB6;22;43528744;43812337;-1;ENSG00000186976
ENSG00000203527;22;43275955;43283830;1;SCUBE1-AS1;SCUBE1;22;43197280;43343372;-1;ENSG00000159307
ENSG00000224517;13;46852143;46856299;1;HTR2A-AS1;HTR2A;13;46831546;46897076;-1;ENSG00000102468
ENSG00000223815;13;60144648;60153678;1;DIAPH3-AS2;DIAPH3;13;59665583;60163928;-1;ENSG00000139734
ENSG00000233642;10;25158072;25176276;-1;GPR158-AS1;GPR158;10;25174802;25602229;1;ENSG00000151025
ENSG00000236336;6;4774526;4775408;-1;CDYL-AS1;CDYL;6;4706159;4955551;1;ENSG00000153046
ENSG00000120664;13;36346431;36369601;1;SPART-AS1;SPART;13;36301638;36370180;-1;ENSG00000133104
ENSG00000280080;22;46914092;46916042;-1;TBC1D22A-AS1;TBC1D22A;22;46762617;47175699;1;ENSG00000054611
ENSG00000220925;X;70148582;70149654;-1;IGBP1-AS2;IGBP1;X;70133447;70166324;1;ENSG00000089289
ENSG00000271360;10;11611305;11612227;1;USP6NL-AS1;USP6NL;10;11460510;11611666;-1;ENSG00000148429
ENSG00000216863;6;6346465;6622771;-1;LY86-AS1;LY86;6;6588108;6654983;1;ENSG00000112799
ENSG00000236256;X;97431286;97642589;-1;DIAPH2-AS1;DIAPH2;X;96684712;97604997;1;ENSG00000147202
ENSG00000278621;15;39588357;39588882;-1;THBS1-AS1;THBS1;15;39581079;39599466;1;ENSG00000137801
ENSG00000247287;14;61294909;61322838;-1;PRKCH-AS1;PRKCH;14;61187559;61550976;1;ENSG00000027075
ENSG00000242082;22;32205115;32278382;1;SLC5A4-AS1;SLC5A4;22;32218464;32255347;-1;ENSG00000100191
ENSG00000224821;13;110456396;110463287;-1;COL4A2-AS2;COL4A2;13;110305812;110513209;1;ENSG00000134871
ENSG00000232814;13;110502575;110508179;-1;COL4A2-AS1;COL4A2;13;110305812;110513209;1;ENSG00000134871
ENSG00000246350;6;28587378;28591747;1;ZBED9-AS1;ZBED9;6;28570535;28616212;-1;ENSG00000232040
ENSG00000128254;22;31925519;31945518;-1;YWHAH-AS1;YWHAH;22;31944522;31957603;1;ENSG00000128245
ENSG00000280213;20;63953384;63956985;1;UCKL1-AS1;UCKL1;20;63939829;63956416;-1;ENSG00000198276
ENSG00000213742;20;25624045;25689032;1;ZNF337-AS1;ZNF337;20;25673195;25696853;-1;ENSG00000130684
ENSG00000253267;8;1565509;1622417;-1;DLGAP2-AS1;DLGAP2;8;737628;1708476;1;ENSG00000198010
ENSG00000278338;13;41955808;41981565;1;VWA8-AS1;VWA8;13;41566835;41961120;-1;ENSG00000102763
ENSG00000165511;10;44997698;45000888;-1;ZNF22-AS1;ZNF22;10;45000923;45005326;1;ENSG00000165512
ENSG00000178803;22;24429206;24495074;-1;ADORA2A-AS1;ADORA2A;22;24417879;24442357;1;ENSG00000128271
ENSG00000253733;8;20275773;20290458;1;LZTS1-AS1;LZTS1;8;20246165;20303963;-1;ENSG00000061337
ENSG00000233851;13;21005157;21018122;1;LATS2-AS1;LATS2;13;20973036;21061586;-1;ENSG00000150457
ENSG00000226725;X;72998388;73002856;-1;PABPC1L2B-AS1;PABPC1L2B;X;73002939;73006106;1;ENSG00000184388
ENSG00000246283;15;42739118;42743202;1;TTBK2-AS1;TTBK2;15;42738730;42920809;-1;ENSG00000128881
ENSG00000259146;14;71292729;71321882;-1;SIPA1L1-AS1;SIPA1L1;14;71320449;71741229;1;ENSG00000197555
ENSG00000258813;14;73057925;73059415;-1;RBM25-AS1;RBM25;14;73058532;73123899;1;ENSG00000119707
ENSG00000276116;14;65411170;65412690;-1;FUT8-AS1;FUT8;14;65410592;65744121;1;ENSG00000033170
ENSG00000235488;6;15247815;15248634;-1;JARID2-AS1;JARID2;6;15246069;15522042;1;ENSG00000008083
ENSG00000285278;6;10404502;10407928;1;TFAP2A-AS2;TFAP2A;6;10393186;10419659;-1;ENSG00000137203
ENSG00000237637;13;32025314;32031639;-1;FRY-AS1;FRY;13;31846713;32299125;1;ENSG00000073910
ENSG00000258376;14;73242651;73245979;-1;PAPLN-AS1;PAPLN;14;73237497;73274640;1;ENSG00000100767
ENSG00000230314;6;11043482;11079154;1;ELOVL2-AS1;ELOVL2;6;10980759;11044305;-1;ENSG00000197977
ENSG00000204183;20;35433029;35435450;1;GDF5-AS1;GDF5;20;35433347;35454746;-1;ENSG00000125965
ENSG00000225731;21;42733594;42741758;-1;PDE9A-AS1;PDE9A;21;42653621;42775509;1;ENSG00000160191
ENSG00000230500;10;27744786;27767794;1;MKX-AS1;MKX;10;27672874;27746060;-1;ENSG00000150051
ENSG00000232307;13;105459055;105505681;-1;DAOA-AS1;DAOA;13;105465867;105491034;1;ENSG00000182346
ENSG00000267028;18;55452533;55482940;1;TCF4-AS1;TCF4;18;55222185;55664787;-1;ENSG00000196628
ENSG00000267402;18;55492175;55496392;1;TCF4-AS2;TCF4;18;55222185;55664787;-1;ENSG00000196628
ENSG00000225778;10;11849608;11894700;-1;PROSER2-AS1;PROSER2;10;11823339;11872277;1;ENSG00000148426
ENSG00000226200;10;50623466;50641451;1;SGMS1-AS1;SGMS1;10;50305586;50625163;-1;ENSG00000198964
ENSG00000259409;15;40088832;40089386;1;BMF-AS1;BMF;15;40087890;40108892;-1;ENSG00000104081
ENSG00000229950;6;10409340;10416446;1;TFAP2A-AS1;TFAP2A;6;10393186;10419659;-1;ENSG00000137203
ENSG00000232010;21;44250813;44251520;1;DNMT3L-AS1;DNMT3L;21;44246339;44262216;-1;ENSG00000142182
ENSG00000236778;13;51452364;51554678;1;INTS6-AS1;INTS6;13;51354077;51454264;-1;ENSG00000102786
ENSG00000226812;20;44347552;44355185;-1;R3HDML-AS1;R3HDML;20;44337043;44351238;1;ENSG00000101074
ENSG00000229005;20;44372746;44395706;-1;HNF4A-AS1;HNF4A;20;44355700;44432845;1;ENSG00000101076
ENSG00000228740;15;27038978;27161319;-1;GABRG3-AS1;GABRG3;15;26971181;27541984;1;ENSG00000182256
ENSG00000267226;18;58670009;58671877;-1;MALT1-AS1;MALT1;18;58671465;58754477;1;ENSG00000172175
ENSG00000230061;21;44414588;44425272;-1;TRPM2-AS;TRPM2;21;44350163;44443081;1;ENSG00000142185
ENSG00000235890;21;44506807;44516575;1;TSPEAR-AS1;TSPEAR;21;44497893;44711572;-1;ENSG00000175894
ENSG00000182912;21;44517216;44525952;1;TSPEAR-AS2;TSPEAR;21;44497893;44711572;-1;ENSG00000175894
ENSG00000226031;X;138711452;138716617;1;FGF13-AS1;FGF13;X;138614727;139222777;-1;ENSG00000129682
ENSG00000235875;13;111113812;111115678;-1;ARHGEF7-AS2;ARHGEF7;13;111114559;111305737;1;ENSG00000102606
ENSG00000236671;10;52230398;52314507;-1;PRKG1-AS1;PRKG1;10;50990888;52298423;1;ENSG00000185532
ENSG00000229999;22;40372664;40388290;-1;SGSM3-AS1;SGSM3;22;40370591;40410289;1;ENSG00000100359
ENSG00000232564;22;40521800;40526707;1;MRTFA-AS1;MRTFA;22;40410281;40636719;-1;ENSG00000196588
ENSG00000235989;22;30922308;30932449;1;MORC2-AS1;MORC2;22;30925130;30968774;-1;ENSG00000133422
ENSG00000271826;X;115518182;115562731;-1;PLS3-AS1;PLS3;X;115561174;115650861;1;ENSG00000102024
ENSG00000230899;X;149878836;149881070;-1;MAGEA8-AS1;MAGEA8;X;149881141;149885835;1;ENSG00000156009
ENSG00000232160;X;132217053;132432862;1;RAP2C-AS1;RAP2C;X;132203024;132219480;-1;ENSG00000123728
ENSG00000234696;X;151175192;151177836;-1;GPR50-AS1;GPR50;X;151176584;151181465;1;ENSG00000102195
ENSG00000205424;21;45827961;45837987;-1;PCBP3-AS1;PCBP3;21;45643694;45942454;1;ENSG00000183570
ENSG00000234736;10;49121839;49151547;1;FAM170B-AS1;FAM170B;10;49131154;49134021;-1;ENSG00000172538
ENSG00000227352;13;111144305;111144733;-1;ARHGEF7-AS1;ARHGEF7;13;111114559;111305737;1;ENSG00000102606
ENSG00000236051;13;77026767;77129717;1;MYCBP2-AS1;MYCBP2;13;77042474;77327094;-1;ENSG00000005810
ENSG00000229521;13;77080511;77081190;-1;MYCBP2-AS2;MYCBP2;13;77042474;77327094;-1;ENSG00000005810
ENSG00000232684;13;112745449;112754693;-1;ATP11A-AS1;ATP11A;13;112690038;112887168;1;ENSG00000068650
ENSG00000235280;13;112967484;112968824;-1;MCF2L-AS1;MCF2L;13;112894378;113099742;1;ENSG00000126217
ENSG00000249310;22;38991559;38998209;-1;APOBEC3B-AS1;APOBEC3B;22;38982347;38992804;1;ENSG00000179750
ENSG00000227188;22;39475807;39476822;-1;MGAT3-AS1;MGAT3;22;39457012;39492194;1;ENSG00000128268
ENSG00000226390;20;63448051;63449329;1;KCNQ2-AS1;KCNQ2;20;63400208;63472677;-1;ENSG00000075043
ENSG00000231150;6;38923029;38953099;-1;DNAH8-AS1;DNAH8;6;38715311;39030792;1;ENSG00000124721
ENSG00000237338;21;46151614;46152647;1;FTCD-AS1;FTCD;21;46136160;46155579;-1;ENSG00000160282
ENSG00000267690;18;13419421;13427480;-1;LDLRAD4-AS1;LDLRAD4;18;13217498;13652755;1;ENSG00000168675
ENSG00000272269;6;17706257;17707344;1;NUP153-AS1;NUP153;6;17615035;17706925;-1;ENSG00000124789
ENSG00000215424;21;46229196;46259390;1;MCM3AP-AS1;MCM3AP;21;46235133;46286297;-1;ENSG00000160294
ENSG00000227659;13;99690081;99690971;-1;CLYBL-AS2;CLYBL;13;99606669;99909459;1;ENSG00000125246
ENSG00000234303;13;99726245;99728971;-1;CLYBL-AS1;CLYBL;13;99606669;99909459;1;ENSG00000125246
ENSG00000264235;18;3255436;3261850;-1;MYL12-AS1;MYL12A;18;3247481;3256236;1;ENSG00000101608
ENSG00000264235;18;3255436;3261850;-1;MYL12-AS1;MYL12B;18;3261479;3278461;1;ENSG00000118680
ENSG00000235214;20;35285251;35285756;1;FAM83C-AS1;FAM83C;20;35285731;35292425;-1;ENSG00000125998
ENSG00000237149;10;75401519;75408982;1;ZNF503-AS2;ZNF503;10;75397830;75401764;-1;ENSG00000165655
ENSG00000250600;5;10441290;10441792;-1;ROPN1L-AS1;ROPN1L;5;10441524;10472029;1;ENSG00000145491
ENSG00000234942;10;85577731;85607213;1;GRID1-AS1;GRID1;10;85599552;86366795;-1;ENSG00000182771
ENSG00000233871;10;77927372;77929824;1;DLG5-AS1;DLG5;10;77790791;77926755;-1;ENSG00000151208
ENSG00000272767;10;63465229;63466563;1;JMJD1C-AS1;JMJD1C;10;63167221;63521850;-1;ENSG00000171988
ENSG00000258920;14;89417354;89419793;1;FOXN3-AS1;FOXN3;14;89124871;89619149;-1;ENSG00000053254
ENSG00000273082;22;33922422;33922766;1;LARGE1-AS1;LARGE1;22;33162226;33922841;-1;ENSG00000133424
ENSG00000225235;X;135520083;135520674;-1;INTS6L-AS1;INTS6L;X;135520659;135582510;1;ENSG00000165359
ENSG00000256577;12;203642;205094;1;SLC6A12-AS1;SLC6A12;12;190077;214570;-1;ENSG00000111181
ENSG00000234161;X;91414878;91434999;-1;PABPC5-AS1;PABPC5;X;91434595;91438584;1;ENSG00000174740
ENSG00000255958;12;10214161;10214761;-1;GABARAPL1-AS1;GABARAPL1;12;10212458;10223128;1;ENSG00000139112
ENSG00000256661;12;8776219;8830947;-1;A2ML1-AS1;A2ML1;12;8822621;8887001;1;ENSG00000166535
ENSG00000258766;14;80211419;80455469;1;DIO2-AS1;DIO2;14;80197526;80387757;-1;ENSG00000211448
ENSG00000267064;X;47658833;47692326;1;UXT-AS1;UXT;X;47651796;47659180;-1;ENSG00000126756
ENSG00000248550;14;56813183;57152177;1;OTX2-AS1;OTX2;14;56799905;56816693;-1;ENSG00000165588
ENSG00000226803;6;57114894;57174236;-1;ZNF451-AS1;ZNF451;6;57086844;57170305;1;ENSG00000112200
ENSG00000235958;20;3106913;3150867;1;UBOX5-AS1;UBOX5;20;3107573;3160196;-1;ENSG00000185019
ENSG00000256904;12;8819816;8820713;-1;A2ML1-AS2;A2ML1;12;8822621;8887001;1;ENSG00000166535
ENSG00000258325;12;2796877;2812902;-1;ITFG2-AS1;ITFG2;12;2812622;2859791;1;ENSG00000111203
ENSG00000237594;21;31559245;31560487;1;TIAM1-AS1;TIAM1;21;31118416;31559977;-1;ENSG00000156299
ENSG00000230613;20;31567707;31573263;-1;HM13-AS1;HM13;20;31514410;31577923;1;ENSG00000101294
ENSG00000236559;20;31686216;31716825;1;BCL2L1-AS1;BCL2L1;20;31664452;31723989;-1;ENSG00000171552
ENSG00000259673;15;67290636;67521844;-1;IQCH-AS1;IQCH;15;67254786;67502260;1;ENSG00000103599
ENSG00000259521;15;41016807;41027893;1;INO80-AS1;INO80;15;40978880;41116280;-1;ENSG00000128908
ENSG00000273888;14;51649516;51651744;-1;FRMD6-AS1;FRMD6;14;51489100;51730727;1;ENSG00000139926
