Chr,Pos_init,Pos_end,Strand,Id,Sense gene,,
chr21,44497893,44711572,-1,ENSG00000175894,TSPEAR,,
chr15,40694774,40732340,1,ENSG00000051180,RAD51,,
chrX,70133447,70166324,1,ENSG00000089289,IGBP1,,
chr13,23288689,23433763,-1,ENSG00000151835,SACS,,
chr22,40370591,40410289,1,ENSG00000100359,SGSM3,,
chr20,18587942,18766644,1,ENSG00000125821,DTD1,,
chr21,44885953,44931989,-1,ENSG00000160255,ITGB2,,
chr13,111114559,111305737,1,ENSG00000102606,ARHGEF7,,
chr22,30925130,30968774,-1,ENSG00000133422,MORC2,,
chr18,5954706,6415237,-1,ENSG00000154655,L3MBTL4,,
chrX,138614727,139222777,-1,ENSG00000129682,FGF13,,
chr18,22169589,22202528,1,ENSG00000141448,GATA6,,
chr18,6729716,6915716,1,ENSG00000088756,ARHGAP28,,
chr6,38715311,39030792,1,ENSG00000124721,DNAH8,,
chr20,44337043,44351238,1,ENSG00000101074,R3HDML,,
chr20,31514410,31577923,1,ENSG00000101294,HM13,,
chrX,120109051,120115913,-1,ENSG00000101883,RHOXF1,,
chrX,149881141,149885835,1,ENSG00000156009,MAGEA8,,
chr21,45643694,45942454,1,ENSG00000183570,PCBP3,,
chr14,65410592,65744121,1,ENSG00000033170,FUT8,,
chrX,151176584,151181465,1,ENSG00000102195,GPR50,,
chr5,16067139,16180762,-1,ENSG00000183654,MARCHF11,,
chr10,75397830,75401764,-1,ENSG00000165655,ZNF503,,
chr22,38982347,38992804,1,ENSG00000179750,APOBEC3B,,
chr5,10441524,10472029,1,ENSG00000145491,ROPN1L,,
chr5,1877413,1887236,-1,ENSG00000113430,IRX4,,
chr13,112690038,112887168,1,ENSG00000068650,ATP11A,,
chr22,39457012,39492194,1,ENSG00000128268,MGAT3,,
chr5,9035033,9546075,-1,ENSG00000112902,SEMA5A,,
chr20,5950652,5998977,1,ENSG00000125885,MCM8,,
chr13,105465867,105491034,1,ENSG00000182346,DAOA,,
chr6,39792298,39904877,1,ENSG00000146122,DAAM2,,
chr21,46136160,46155579,-1,ENSG00000160282,FTCD,,
chr6,52497408,52577060,-1,ENSG00000065308,TRAM2,,
chr13,99606669,99909459,1,ENSG00000125246,CLYBL,,
chr6,38168451,38640148,-1,ENSG00000183826,BTBD9,,
chr21,36748626,36990236,-1,ENSG00000159267,HLCS,,
chr13,98793429,99086625,-1,ENSG00000088387,DOCK9,,
chr20,35285731,35292425,-1,ENSG00000125998,FAM83C,,
chr18,31318160,31359246,1,ENSG00000134760,DSG1,,
chr10,87225448,87236908,1,ENSG00000184923,NUTM2A,,
chr10,45000923,45005326,1,ENSG00000165512,ZNF22,,
chr18,9546791,9615240,-1,ENSG00000154845,PPP4R1,,
chr8,20246165,20303963,-1,ENSG00000061337,LZTS1,,
chrX,72578814,72714319,-1,ENSG00000067177,PHKA1,,
chr6,45328157,45664349,1,ENSG00000124813,RUNX2,,
chr5,10564070,10657816,1,ENSG00000164236,ANKRD33B,,
chr20,63743668,63832038,-1,ENSG00000130584,ZBTB46,,
chr20,34363241,34540748,1,ENSG00000078747,ITCH,,
chr14,73058532,73123899,1,ENSG00000119707,RBM25,,
chr21,42062959,42143453,1,ENSG00000177398,UMODL1,,
chrX,47651796,47659180,-1,ENSG00000126756,UXT,,
chr20,3107573,3160196,-1,ENSG00000185019,UBOX5,,
chr21,31118416,31559977,-1,ENSG00000156299,TIAM1,,
chr10,71212570,71302864,1,ENSG00000107731,UNC5B,,
chr10,85599552,86366795,-1,ENSG00000182771,GRID1,,
chr12,10212458,10223128,1,ENSG00000139112,GABARAPL1,,
chr10,77790791,77926755,-1,ENSG00000151208,DLG5,,
chr13,43213130,43786972,-1,ENSG00000120658,ENOX1,,
chrX,155489011,155719098,-1,ENSG00000185973,TMLHE,,
chr20,31664452,31723989,-1,ENSG00000171552,BCL2L1,,
chr20,21125983,21246622,1,ENSG00000088970,KIZ,,
chr5,34838833,34899456,1,ENSG00000205838,TTC23L,,
chr13,113324163,113364148,-1,ENSG00000139835,GRTP1,,
chr13,113455819,113490951,-1,ENSG00000150401,DCUN1D2,,
chr6,53929982,54266280,1,ENSG00000146147,MLIP,,
chr20,9514358,9530524,1,ENSG00000125869,LAMP5,,
chr15,40278176,40307935,-1,ENSG00000137841,PLCB2,,
chr20,1309909,1329139,-1,ENSG00000125775,SDCBP2,,
chr21,44350163,44443081,1,ENSG00000142185,TRPM2,,
chr13,79481124,79556077,1,ENSG00000102471,NDFIP2,,
chr10,80454166,80533124,1,ENSG00000108219,TSPAN14,,
chr21,29536933,29940033,-1,ENSG00000171189,GRIK1,,
chr20,46008908,46016561,1,ENSG00000100985,MMP9,,
chr13,77042474,77327094,-1,ENSG00000005810,MYCBP2,,
chr5,19471296,20575873,-1,ENSG00000145526,CDH18,,
chrX,103918896,103966712,1,ENSG00000158427,TMSB15B,,
chr6,57086844,57170305,1,ENSG00000112200,ZNF451,,
chr21,39556442,39673137,1,ENSG00000183778,B3GALT5,,
chr13,19674752,19783019,-1,ENSG00000121390,PSPC1,,
chr20,33731657,33792269,1,ENSG00000131061,ZNF341,,
chr6,73695785,73828316,1,ENSG00000156535,CD109,,
chr12,8822621,8887001,1,ENSG00000166535,A2ML1,,
chr11,1223066,1262172,1,ENSG00000117983,MUC5B,,
chr15,67254786,67502260,1,ENSG00000103599,IQCH,,
chr5,44300247,44389706,-1,ENSG00000070193,FGF10,,
chr6,89642498,89819794,-1,ENSG00000112159,MDN1,,
chr12,10372353,10391874,-1,ENSG00000213809,KLRK1,,
chr5,43486709,43515148,-1,ENSG00000172244,C5orf34,,
chr15,57953424,58497866,-1,ENSG00000128918,ALDH1A2,,
chr21,46235133,46286297,-1,ENSG00000160294,MCM3AP,,
chrX,73002939,73006106,1,ENSG00000184388,PABPC1L2B,,
chr11,2444684,2849105,1,ENSG00000053918,KCNQ1,,
chr12,2812622,2859791,1,ENSG00000111203,ITFG2,,
chr8,78516340,78605267,1,ENSG00000171033,PKIA,,
chr8,76681239,76867281,1,ENSG00000091656,ZFHX4,,
chr5,83471618,83582303,1,ENSG00000038427,VCAN,,
chrX,12906620,12923169,1,ENSG00000101916,TLR8,,
chr11,26188842,26663289,1,ENSG00000134343,ANO3,,
chr6,99918519,99994247,-1,ENSG00000152034,MCHR2,,
chr11,19182030,19210571,-1,ENSG00000129170,CSRP3,,
chr12,3791047,3873448,-1,ENSG00000111224,PARP11,,
chr5,41730065,41870425,-1,ENSG00000083720,OXCT1,,
chr14,55559072,55701526,1,ENSG00000126777,KTN1,,
chr12,15107783,15348675,-1,ENSG00000134533,RERG,,
chr18,67506587,67516720,-1,ENSG00000171451,DSEL,,
chr12,47079603,47236662,1,ENSG00000179715,PCED1B,,
chr6,125781161,125932034,1,ENSG00000111912,NCOA7,,
chr6,123216339,123637093,-1,ENSG00000186439,TRDN,,
chr18,31498177,31549008,1,ENSG00000046604,DSG2,,
chr21,37073226,37203112,1,ENSG00000182670,TTC3,,
chr5,77072072,77087285,-1,ENSG00000132846,ZBED3,,
chr20,19212642,19722926,1,ENSG00000185052,SLC24A3,,
chr19,15114984,15125786,-1,ENSG00000105135,ILVBL,,
chr11,27040725,27127809,1,ENSG00000129151,BBOX1,,
chr18,74597870,75065671,1,ENSG00000215421,ZNF407,,
chr9,22002903,22009305,-1,ENSG00000147883,CDKN2B,,
chr5,52989340,53094779,1,ENSG00000164171,ITGA2,,
chr8,68330955,68819023,1,ENSG00000165084,C8orf34,,
chr8,85373436,85449040,1,ENSG00000164879,CA3,,
chrX,153764196,153779346,1,ENSG00000198753,PLXNB3,,
chr22,41833079,41907307,1,ENSG00000198911,SREBF2,,
chr6,108848416,108974476,1,ENSG00000118690,ARMC2,,
chr8,73420369,73747708,-1,ENSG00000040341,STAU2,,
chr11,32387775,32435564,-1,ENSG00000184937,WT1,,
chrX,153861514,153886173,-1,ENSG00000198910,L1CAM,,
chr5,37812677,37840041,-1,ENSG00000168621,GDNF,,
chr14,22920525,22929408,-1,ENSG00000100462,PRMT5,,
chr20,62642503,62685785,1,ENSG00000101187,SLCO4A1,,
chr20,62804835,62814000,1,ENSG00000060491,OGFR,,
chr6,105096822,105137157,-1,ENSG00000112276,BVES,,
chr11,13962723,14268133,1,ENSG00000262655,SPON1,,
chr12,31073860,31104799,1,ENSG00000013573,DDX11,,
chr11,47269161,47330031,1,ENSG00000110514,MADD,,
chr5,81233320,81266398,1,ENSG00000131730,CKMT2,,
chr10,104309698,104338465,-1,ENSG00000148841,ITPRIP,,
chr15,58410569,58569844,1,ENSG00000166035,LIPC,,
chr5,81972023,82276857,1,ENSG00000152348,ATG10,,
chr22,32218464,32255347,-1,ENSG00000100191,SLC5A4,,
chr22,33162226,33922841,-1,ENSG00000133424,LARGE1,,
chr5,80960363,81230162,1,ENSG00000113319,RASGRF2,,
chr20,36091504,36232799,1,ENSG00000088367,EPB41L1,,
chr10,61406642,61453381,-1,ENSG00000196932,TMEM26,,
chr18,80157232,80247514,-1,ENSG00000178184,PARD6G,,
chr10,35247025,35572669,1,ENSG00000108100,CCNY,,
chrX,153947557,153971818,-1,ENSG00000172534,HCFC1,,
chr12,46358188,46372773,-1,ENSG00000134294,SLC38A2,,
chr4,9771153,10054936,-1,ENSG00000109667,SLC2A9,,
chr9,12775020,12823060,1,ENSG00000153714,LURAP1L,,
chr20,346782,359660,1,ENSG00000125841,NRSN2,,
chr15,73925989,73952137,1,ENSG00000129038,LOXL1,,
chr8,91070196,91087095,1,ENSG00000155100,OTUD6B,,
chr10,124619292,124744378,-1,ENSG00000189319,FAM53B,,
chr14,23559565,23568070,-1,ENSG00000213983,AP1G2,,
chr14,23953734,23969279,1,ENSG00000157326,DHRS4,,
chr2,3379675,3485094,1,ENSG00000171853,TRAPPC12,,
chr6,104936616,105083332,1,ENSG00000187772,LIN28B,,
chrX,103675496,103688158,-1,ENSG00000123562,MORF4L2,,
chr14,92936914,93116320,-1,ENSG00000100605,ITPK1,,
chr2,950849,1367613,1,ENSG00000172554,SNTG2,,
chrX,47983356,48071658,-1,ENSG00000221994,ZNF630,,
chr12,38646822,38907430,-1,ENSG00000139117,CPNE8,,
chr8,69667046,69834978,-1,ENSG00000137571,SLCO5A1,,
chrX,123859724,123913976,1,ENSG00000101966,XIAP,,
chr12,49961872,49965682,1,ENSG00000161798,AQP5,,
chr11,27365961,27472790,-1,ENSG00000205213,LGR4,,
chr6,54307859,54390142,1,ENSG00000137251,TINAG,,
chr6,84687351,84764598,-1,ENSG00000112837,TBX18,,
chr6,113933028,114011308,-1,ENSG00000196591,HDAC2,,
chr5,111496033,111512590,-1,ENSG00000164211,STARD4,,
chr10,125576522,125683163,-1,ENSG00000175018,TEX36,,
chr20,50888916,50931437,-1,ENSG00000101126,ADNP,,
chr14,51489100,51730727,1,ENSG00000139926,FRMD6,,
chr14,73237497,73274640,1,ENSG00000100767,PAPLN,,
chr8,86342547,86478420,1,ENSG00000123124,WWP1,,
chr6,116461370,116463771,1,ENSG00000188820,CALHM6,,
chr19,31149979,31349436,-1,ENSG00000121297,TSHZ3,,
chr6,111555381,111606906,-1,ENSG00000056972,TRAF3IP2,,
chr9,68328308,68531061,1,ENSG00000154330,PGM5,,
chr12,79773563,79935460,-1,ENSG00000058272,PPP1R12A,,
chr5,93583222,93594611,1,ENSG00000175745,NR2F1,,
chr10,125896564,126009592,1,ENSG00000203780,FANK1,,
chr8,96222947,96235546,-1,ENSG00000156467,UQCRB,,
chr20,3888839,3929887,1,ENSG00000125779,PANK2,,
chr2,38066973,38109902,-1,ENSG00000138061,CYP1B1,,
chr12,54395261,54419266,-1,ENSG00000161638,ITGA5,,
chr10,117241093,117279430,1,ENSG00000165646,SLC18A2,,
chr9,77423079,77648322,-1,ENSG00000156049,GNA14,,
chr9,74980790,75028423,-1,ENSG00000156017,CARNMT1,,
chr5,38258409,38465480,1,ENSG00000164318,EGFLAM,,
chr11,19224063,19241620,-1,ENSG00000129173,E2F8,,
chr11,44726465,44932423,1,ENSG00000157570,TSPAN18,,
chr9,83242990,83538546,-1,ENSG00000172159,FRMD3,,
chr5,112142441,112419313,-1,ENSG00000129595,EPB41L4A,,
chr5,135027734,135034813,-1,ENSG00000069011,PITX1,,
chr22,23894383,23895227,1,ENSG00000240972,MIF,,
chr6,149218641,149411613,1,ENSG00000055208,TAB2,,
chr15,63504511,63594640,1,ENSG00000140455,USP3,,
chr7,8113184,8262687,-1,ENSG00000003147,ICA1,,
chr10,125719515,125764143,1,ENSG00000107938,EDRF1,,
chr6,166409364,166906451,-1,ENSG00000071242,RPS6KA2,,
chr20,63400208,63472677,-1,ENSG00000075043,KCNQ2,,
chr9,83659968,83707958,-1,ENSG00000135018,UBQLN1,,
chr5,91368631,91383317,-1,ENSG00000113369,ARRDC3,,
chr2,45651345,46187990,1,ENSG00000171132,PRKCE,,
chr9,96235306,96302176,-1,ENSG00000130948,HSD17B3,,
chr10,131092391,131311721,-1,ENSG00000176769,TCERG1L,,
chr6,125747664,125761269,1,ENSG00000135547,HEY2,,
chr19,36817428,36850787,-1,ENSG00000197863,ZNF790,,
chr2,28392448,28417317,1,ENSG00000075426,FOSL2,,
chr7,549197,727650,-1,ENSG00000188191,PRKAR1B,,
chr10,81875194,82987179,1,ENSG00000185737,NRG3,,
chr5,111662621,111997464,-1,ENSG00000134986,NREP,,
chrX,132203024,132219480,-1,ENSG00000123728,RAP2C,,
chr10,109996368,110135565,1,ENSG00000148700,ADD3,,
chr14,28766787,28770277,1,ENSG00000176165,FOXG1,,
chr8,30384511,30572256,1,ENSG00000157110,RBPMS,,
chr14,75958097,75983011,-1,ENSG00000119699,TGFB3,,
chr17,212389,386254,-1,ENSG00000181031,RPH3AL,,
chr11,46856717,46918642,-1,ENSG00000134569,LRP4,,
chr10,25174802,25602229,1,ENSG00000151025,GPR158,,
chr10,99875577,100009947,-1,ENSG00000107554,DNMBP,,
chr19,44643798,44666162,1,ENSG00000073008,PVR,,
chr5,97160867,97183247,-1,ENSG00000058729,RIOK2,,
chr19,48270081,48287608,1,ENSG00000178150,ZNF114,,
chr11,27654893,27722058,-1,ENSG00000176697,BDNF,,
chr12,32106835,32383633,1,ENSG00000151746,BICD1,,
chr20,13995369,16053197,1,ENSG00000172264,MACROD2,,
chr19,43912624,43935282,-1,ENSG00000124459,ZNF45,,
chr20,36306336,36528637,1,ENSG00000080845,DLGAP4,,
chr6,148747030,149076990,1,ENSG00000111962,UST,,
chr9,77177445,77421537,1,ENSG00000197969,VPS13A,,
chr20,18288283,18316996,1,ENSG00000125846,ZNF133,,
chr5,79991311,80083287,1,ENSG00000113296,THBS4,,
chr5,43602692,43707405,1,ENSG00000112992,NNT,,
chr8,95244913,95269201,-1,ENSG00000156172,CFAP418,,
chr7,28995235,29195451,-1,ENSG00000106066,CPVL,,
chr8,109573978,109691791,-1,ENSG00000147642,SYBU,,
chrX,24558087,24672677,-1,ENSG00000102230,PCYT1B,,
chr20,58839718,58911192,1,ENSG00000087460,GNAS,,
chr9,70043848,70226972,1,ENSG00000165072,MAMDC2,,
chr19,58345178,58353492,-1,ENSG00000121410,A1BG,,
chr15,90930180,90954093,1,ENSG00000140553,UNC45A,,
chr19,44699151,44710718,1,ENSG00000213892,CEACAM16,,
chr18,13217498,13652755,1,ENSG00000168675,LDLRAD4,,
chr12,49836043,49843106,-1,ENSG00000186666,BCDIN3D,,
chr19,58561931,58573575,-1,ENSG00000099326,MZF1,,
chr15,60488284,61229302,-1,ENSG00000069667,RORA,,
chr12,51391317,51515763,1,ENSG00000050438,SLC4A8,,
chr10,102449837,102451543,-1,ENSG00000120055,C10orf95,,
chr19,58354357,58362848,-1,ENSG00000174586,ZNF497,,
chr5,98768650,98798643,1,ENSG00000174136,RGMB,,
chrX,135520659,135582510,1,ENSG00000165359,INTS6L,,
chr22,20999104,21002196,-1,ENSG00000184436,THAP7,,
chr6,112107931,112254939,-1,ENSG00000112769,LAMA4,,
chrX,24149173,24216255,1,ENSG00000005889,ZFX,,
chr3,196763,409417,1,ENSG00000134121,CHL1,,
chr8,119873717,120050918,1,ENSG00000155792,DEPTOR,,
chr10,49131154,49134021,-1,ENSG00000172538,FAM170B,,
chr10,50990888,52298423,1,ENSG00000185532,PRKG1,,
chr5,139795808,139844466,1,ENSG00000146005,PSD2,,
chr5,17065598,17276843,1,ENSG00000176788,BASP1,,
chr4,75940950,75990962,-1,ENSG00000198301,SDAD1,,
chr3,10992186,11039247,1,ENSG00000157103,SLC6A1,,
chr5,136132845,136188747,1,ENSG00000113658,SMAD5,,
chr7,20330702,20415754,1,ENSG00000105855,ITGB8,,
chr6,108041409,108165854,-1,ENSG00000081087,OSTM1,,
chr12,52607570,52618559,-1,ENSG00000186049,KRT73,,
chr4,76435229,76783253,1,ENSG00000138771,SHROOM3,,
chr6,160991727,161117385,1,ENSG00000085511,MAP3K4,,
chr4,38664197,38701517,1,ENSG00000109787,KLF3,,
chr11,100687288,100993941,1,ENSG00000165895,ARHGAP42,,
chr10,96998038,97185959,-1,ENSG00000187122,SLIT1,,
chr8,73294602,73325281,1,ENSG00000121039,RDH10,,
chr8,125024260,125091819,-1,ENSG00000164961,WASHC5,,
chr5,97091867,97142753,-1,ENSG00000145721,LIX1,,
chr10,5524961,5526771,1,ENSG00000178363,CALML3,,
chr3,16802651,17090604,1,ENSG00000154822,PLCL2,,
chr15,90966040,90995629,-1,ENSG00000198901,PRC1,,
chr3,21412218,22373321,-1,ENSG00000151789,ZNF385D,,
chr2,75469302,75569722,-1,ENSG00000115363,EVA1A,,
chr3,37452115,37823507,1,ENSG00000144668,ITGA9,,
chr1,8861000,8879190,-1,ENSG00000074800,ENO1,,
chr3,20160593,20186206,-1,ENSG00000129810,SGO1,,
chrX,108719946,108736563,-1,ENSG00000133124,IRS4,,
chrX,103607451,103629690,1,ENSG00000196507,TCEAL3,,
chr22,21919425,21952848,-1,ENSG00000100034,PPM1F,,
chr15,99098217,99135593,1,ENSG00000182253,SYNM,,
chr17,36088256,36090169,-1,ENSG00000277632,CCL3,,
chr4,41744082,41748725,-1,ENSG00000109132,PHOX2B,,
chr4,82900684,82919969,1,ENSG00000168152,THAP9,,
chr4,53459301,53701405,-1,ENSG00000072201,LNX1,,
chr5,147234963,147387855,1,ENSG00000169302,STK32A,,
chr2,44941702,44946071,1,ENSG00000138083,SIX3,,
chr4,80183879,80204329,1,ENSG00000152784,PRDM8,,
chr7,34658218,34878332,1,ENSG00000187258,NPSR1,,
chr5,138610967,138935034,1,ENSG00000044115,CTNNA1,,
chr20,41136960,41196801,1,ENSG00000124181,PLCG1,,
chr8,119165034,119245673,1,ENSG00000147676,MAL2,,
chr1,2590639,2633016,-1,ENSG00000142606,MMEL1,,
chr20,50190830,50192668,1,ENSG00000172216,CEBPB,,
chr9,129665647,129722674,1,ENSG00000167157,PRRX2,,
chr20,23350791,23354771,1,ENSG00000132661,NXT1,,
chr1,15152532,15220478,1,ENSG00000171729,TMEM51,,
chr1,1173880,1197936,1,ENSG00000162571,TTLL10,,
chr22,24952716,25197448,1,ENSG00000197077,KIAA1671,,
chr15,96325938,96340263,1,ENSG00000185551,NR2F2,,
chr3,8501807,8574668,1,ENSG00000071282,LMCD1,,
