Chr;Pos_init;Pos_end;Strand;Size;Id;AS;N transcripts
13;23418971;23428869;1;9898;ENSG00000229558;SACS-AS1;1
13;50862172;50910764;-1;48592;ENSG00000233672;RNASEH2B-AS1;13
20;34441592;34442025;-1;433;ENSG00000236388;ITCH-AS1;1
22;46053705;46057210;1;3505;ENSG00000241990;PRR34-AS1;3
21;45407386;45410065;-1;2679;ENSG00000224574;COL18A1-AS2;1
21;45419716;45425070;-1;5354;ENSG00000183535;COL18A1-AS1;2
20;59624904;59628295;-1;3391;ENSG00000238194;PHACTR3-AS1;4
21;32277863;32280988;1;3125;ENSG00000227256;MIS18A-AS1;1
21;32306464;32308737;-1;2273;ENSG00000232623;MRAP-AS1;1
X;72688950;72712348;1;23398;ENSG00000231944;PHKA1-AS1;1
X;46545438;46548841;1;3403;ENSG00000230844;ZNF674-AS1;3
X;43949732;43971582;1;21850;ENSG00000236276;NDP-AS1;2
X;63349646;63352178;1;2532;ENSG00000233661;SPIN4-AS1;1
13;113815630;113845744;1;30114;ENSG00000233695;GAS6-AS1;2
13;48077137;48079991;1;2854;ENSG00000229111;MED4-AS1;1
18;31542146;31556948;-1;14802;ENSG00000264859;DSG2-AS1;4
14;32074946;32076793;-1;1847;ENSG00000258655;ARHGAP5-AS1;1
14;30437992;30573629;-1;135637;ENSG00000257636;G2E3-AS1;4
21;39313935;39314962;1;1027;ENSG00000255568;BRWD1-AS2;1
21;39315707;39323218;1;7511;ENSG00000238141;BRWD1-AS1;1
22;43038585;43052366;1;13781;ENSG00000230319;TTLL1-AS1;1
22;43212674;43213661;1;987;ENSG00000236272;SCUBE1-AS2;1
20;57214872;57215866;1;994;ENSG00000235032;BMP7-AS1;1
13;75604700;75635994;-1;31294;ENSG00000261105;LMO7-AS1;3
13;45341345;45417975;1;76630;ENSG00000170919;TPT1-AS1;50
21;39597147;39612910;-1;15763;ENSG00000184809;B3GALT5-AS1;7
22;41207592;41228500;-1;20908;ENSG00000235513;L3MBTL2-AS1;4
21;40383083;40385358;1;2275;ENSG00000235123;DSCAM-AS1;4
13;45418162;45420371;1;2209;ENSG00000251015;SLC25A30-AS1;1
10;17386919;17445758;1;58839;ENSG00000204832;ST8SIA6-AS1;5
22;43516107;43560063;1;43956;ENSG00000223843;EFCAB6-AS1;2
22;43275955;43283830;1;7875;ENSG00000203527;SCUBE1-AS1;1
13;46852143;46856299;1;4156;ENSG00000224517;HTR2A-AS1;3
13;60144648;60153678;1;9030;ENSG00000223815;DIAPH3-AS2;1
10;25158072;25176276;-1;18204;ENSG00000233642;GPR158-AS1;1
6;4774526;4775408;-1;882;ENSG00000236336;CDYL-AS1;1
13;36346431;36369601;1;23170;ENSG00000120664;SPART-AS1;4
22;46914092;46916042;-1;1950;ENSG00000280080;TBC1D22A-AS1;2
X;70148582;70149654;-1;1072;ENSG00000220925;IGBP1-AS2;1
10;11611305;11612227;1;922;ENSG00000271360;USP6NL-AS1;1
6;6346465;6622771;-1;276306;ENSG00000216863;LY86-AS1;12
X;97431286;97642589;-1;211303;ENSG00000236256;DIAPH2-AS1;4
15;39588357;39588882;-1;525;ENSG00000278621;THBS1-AS1;1
14;61294909;61322838;-1;27929;ENSG00000247287;PRKCH-AS1;3
22;32205115;32278382;1;73267;ENSG00000242082;SLC5A4-AS1;2
13;110456396;110463287;-1;6891;ENSG00000224821;COL4A2-AS2;1
13;110502575;110508179;-1;5604;ENSG00000232814;COL4A2-AS1;1
6;28587378;28591747;1;4369;ENSG00000246350;ZBED9-AS1;1
22;31925519;31945518;-1;19999;ENSG00000128254;YWHAH-AS1;8
20;63953384;63956985;1;3601;ENSG00000280213;UCKL1-AS1;1
20;25624045;25689032;1;64987;ENSG00000213742;ZNF337-AS1;7
8;1565509;1622417;-1;56908;ENSG00000253267;DLGAP2-AS1;2
13;41955808;41981565;1;25757;ENSG00000278338;VWA8-AS1;2
10;44997698;45000888;-1;3190;ENSG00000165511;ZNF22-AS1;1
22;24429206;24495074;-1;65868;ENSG00000178803;ADORA2A-AS1;4
8;20275773;20290458;1;14685;ENSG00000253733;LZTS1-AS1;1
13;21005157;21018122;1;12965;ENSG00000233851;LATS2-AS1;1
X;72998388;73002856;-1;4468;ENSG00000226725;PABPC1L2B-AS1;1
15;42739118;42743202;1;4084;ENSG00000246283;TTBK2-AS1;2
14;71292729;71321882;-1;29153;ENSG00000259146;SIPA1L1-AS1;3
14;73057925;73059415;-1;1490;ENSG00000258813;RBM25-AS1;1
14;65411170;65412690;-1;1520;ENSG00000276116;FUT8-AS1;1
6;15247815;15248634;-1;819;ENSG00000235488;JARID2-AS1;1
6;10404502;10407928;1;3426;ENSG00000285278;TFAP2A-AS2;1
13;32025314;32031639;-1;6325;ENSG00000237637;FRY-AS1;1
14;73242651;73245979;-1;3328;ENSG00000258376;PAPLN-AS1;1
6;11043482;11079154;1;35672;ENSG00000230314;ELOVL2-AS1;9
20;35433029;35435450;1;2421;ENSG00000204183;GDF5-AS1;1
21;42733594;42741758;-1;8164;ENSG00000225731;PDE9A-AS1;1
10;27744786;27767794;1;23008;ENSG00000230500;MKX-AS1;2
13;105459055;105505681;-1;46626;ENSG00000232307;DAOA-AS1;1
18;55452533;55482940;1;30407;ENSG00000267028;TCF4-AS1;1
18;55492175;55496392;1;4217;ENSG00000267402;TCF4-AS2;1
10;11849608;11894700;-1;45092;ENSG00000225778;PROSER2-AS1;2
10;50623466;50641451;1;17985;ENSG00000226200;SGMS1-AS1;3
15;40088832;40089386;1;554;ENSG00000259409;BMF-AS1;1
6;10409340;10416446;1;7106;ENSG00000229950;TFAP2A-AS1;2
21;44250813;44251520;1;707;ENSG00000232010;DNMT3L-AS1;1
13;51452364;51554678;1;102314;ENSG00000236778;INTS6-AS1;33
20;44347552;44355185;-1;7633;ENSG00000226812;R3HDML-AS1;2
20;44372746;44395706;-1;22960;ENSG00000229005;HNF4A-AS1;2
15;27038978;27161319;-1;122341;ENSG00000228740;GABRG3-AS1;4
18;58670009;58671877;-1;1868;ENSG00000267226;MALT1-AS1;1
21;44414588;44425272;-1;10684;ENSG00000230061;TRPM2-AS;2
21;44506807;44516575;1;9768;ENSG00000235890;TSPEAR-AS1;2
21;44517216;44525952;1;8736;ENSG00000182912;TSPEAR-AS2;3
X;138711452;138716617;1;5165;ENSG00000226031;FGF13-AS1;2
13;111113812;111115678;-1;1866;ENSG00000235875;ARHGEF7-AS2;1
10;52230398;52314507;-1;84109;ENSG00000236671;PRKG1-AS1;6
22;40372664;40388290;-1;15626;ENSG00000229999;SGSM3-AS1;3
22;40521800;40526707;1;4907;ENSG00000232564;MRTFA-AS1;1
22;30922308;30932449;1;10141;ENSG00000235989;MORC2-AS1;6
X;115518182;115562731;-1;44549;ENSG00000271826;PLS3-AS1;2
X;149878836;149881070;-1;2234;ENSG00000230899;MAGEA8-AS1;1
X;132217053;132432862;1;215809;ENSG00000232160;RAP2C-AS1;4
X;151175192;151177836;-1;2644;ENSG00000234696;GPR50-AS1;1
21;45827961;45837987;-1;10026;ENSG00000205424;PCBP3-AS1;1
10;49121839;49151547;1;29708;ENSG00000234736;FAM170B-AS1;4
13;111144305;111144733;-1;428;ENSG00000227352;ARHGEF7-AS1;1
13;77026767;77129717;1;102950;ENSG00000236051;MYCBP2-AS1;10
13;77080511;77081190;-1;679;ENSG00000229521;MYCBP2-AS2;1
13;112745449;112754693;-1;9244;ENSG00000232684;ATP11A-AS1;1
13;112967484;112968824;-1;1340;ENSG00000235280;MCF2L-AS1;1
22;38991559;38998209;-1;6650;ENSG00000249310;APOBEC3B-AS1;1
22;39475807;39476822;-1;1015;ENSG00000227188;MGAT3-AS1;1
20;63448051;63449329;1;1278;ENSG00000226390;KCNQ2-AS1;1
6;38923029;38953099;-1;30070;ENSG00000231150;DNAH8-AS1;3
21;46151614;46152647;1;1033;ENSG00000237338;FTCD-AS1;1
18;13419421;13427480;-1;8059;ENSG00000267690;LDLRAD4-AS1;1
6;17706257;17707344;1;1087;ENSG00000272269;NUP153-AS1;1
21;46229196;46259390;1;30194;ENSG00000215424;MCM3AP-AS1;15
13;99690081;99690971;-1;890;ENSG00000227659;CLYBL-AS2;1
13;99726245;99728971;-1;2726;ENSG00000234303;CLYBL-AS1;2
18;3255436;3261850;-1;6414;ENSG00000264235;MYL12-AS1;2
20;35285251;35285756;1;505;ENSG00000235214;FAM83C-AS1;1
10;75401519;75408982;1;7463;ENSG00000237149;ZNF503-AS2;6
5;10441290;10441792;-1;502;ENSG00000250600;ROPN1L-AS1;1
10;85577731;85607213;1;29482;ENSG00000234942;GRID1-AS1;4
22;33725007;33750843;1;25836;ENSG00000224973;LARGE-AS1;10
10;77927372;77929824;1;2452;ENSG00000233871;DLG5-AS1;2
10;63465229;63466563;1;1334;ENSG00000272767;JMJD1C-AS1;1
14;44876874;44897077;-1;20203;ENSG00000258633;RRAGAP1-AS1;1
14;89417354;89419793;1;2439;ENSG00000258920;FOXN3-AS1;1
22;33922422;33922766;1;344;ENSG00000273082;LARGE1-AS1;1
X;135520083;135520674;-1;591;ENSG00000225235;INTS6L-AS1;1
12;203642;205094;1;1452;ENSG00000256577;SLC6A12-AS1;1
X;91414878;91434999;-1;20121;ENSG00000234161;PABPC5-AS1;1
12;10214161;10214761;-1;600;ENSG00000255958;GABARAPL1-AS1;1
12;8776219;8830947;-1;54728;ENSG00000256661;A2ML1-AS1;1
14;80211419;80455469;1;244050;ENSG00000258766;DIO2-AS1;1
X;47658833;47692326;1;33493;ENSG00000267064;UXT-AS1;6
14;56813183;57152177;1;338994;ENSG00000248550;OTX2-AS1;5
6;57114894;57174236;-1;59342;ENSG00000226803;ZNF451-AS1;22
20;3106913;3150867;1;43954;ENSG00000235958;UBOX5-AS1;2
12;8819816;8820713;-1;897;ENSG00000256904;A2ML1-AS2;1
12;2796877;2812902;-1;16025;ENSG00000258325;ITFG2-AS1;3
21;31559245;31560487;1;1242;ENSG00000237594;TIAM1-AS1;1
20;31567707;31573263;-1;5556;ENSG00000230613;HM13-AS1;1
20;31686216;31716825;1;30609;ENSG00000236559;BCL2L1-AS1;1
15;67290636;67521844;-1;231208;ENSG00000259673;IQCH-AS1;10
15;41016807;41027893;1;11086;ENSG00000259521;INO80-AS1;2
14;51649516;51651744;-1;2228;ENSG00000273888;FRMD6-AS1;1
X;155466540;155611616;1;145076;ENSG00000224533;TMLHE-AS1;2
13;43458465;43459484;1;1019;ENSG00000238189;ENOX1-AS2;1
13;43543918;43548056;1;4138;ENSG00000233821;ENOX1-AS1;1
5;43511058;43521811;1;10753;ENSG00000248554;C5orf34-AS1;1
13;113351645;113361868;1;10223;ENSG00000225083;GRTP1-AS1;3
13;113468901;113476135;1;7234;ENSG00000233613;DCUN1D2-AS;2
20;21154023;21218289;-1;64266;ENSG00000232712;KIZ-AS1;3
20;18313765;18315111;-1;1346;ENSG00000237259;ZNF133-AS1;1
20;9505180;9514998;-1;9818;ENSG00000225988;LAMP5-AS1;1
5;43571594;43603230;-1;31636;ENSG00000248092;NNT-AS1;8
12;14567393;14624191;1;56798;ENSG00000256751;PLBD1-AS1;3
14;51454512;51599952;-1;145440;ENSG00000258537;FRMD6-AS2;2
6;38481692;38482531;1;839;ENSG00000226533;BTBD9-AS1;1
6;52576787;52643058;1;66271;ENSG00000225791;TRAM2-AS1;16
10;82228985;82232920;-1;3935;ENSG00000225738;NRG3-AS1;3
19;4679282;4685948;1;6666;ENSG00000205790;DPP9-AS1;1
5;34837549;34839278;-1;1729;ENSG00000272323;TTC23L-AS1;1
12;15151923;15155283;1;3360;ENSG00000255660;RERG-AS1;1
20;46013500;46022073;-1;8573;ENSG00000204044;SLC12A5-AS1;2
13;44110451;44240517;1;130066;ENSG00000227258;SMIM2-AS1;7
15;40300670;40301820;1;1150;ENSG00000259307;PLCB2-AS1;1
13;99181223;99200757;-1;19534;ENSG00000228889;UBAC2-AS1;11
13;46052497;46161379;1;108882;ENSG00000235903;CPB2-AS1;20
13;94703454;94803430;1;99976;ENSG00000227640;SOX21-AS1;7
13;19674624;19675884;1;1260;ENSG00000226352;PSPC1-AS2;1
8;30382119;30385401;-1;3282;ENSG00000254109;RBPMS-AS1;4
21;17611708;17633199;1;21491;ENSG00000280594;BTG3-AS1;3
21;36131767;36175815;-1;44048;ENSG00000236830;CBR3-AS1;25
20;33787373;33811109;-1;23736;ENSG00000230753;ZNF341-AS1;3
6;45573346;45576770;-1;3424;ENSG00000261080;RUNX2-AS1;1
X;12373167;12375133;-1;1966;ENSG00000223487;FRMPD4-AS1;1
X;12902817;12908333;-1;5516;ENSG00000233338;TLR8-AS1;1
X;17552349;17557387;-1;5038;ENSG00000230020;NHS-AS1;1
21;32728094;32747065;1;18971;ENSG00000238197;PAXBP1-AS1;16
21;44921051;44929680;1;8629;ENSG00000227039;ITGB2-AS1;9
11;1242261;1249676;-1;7415;ENSG00000255177;MUC5B-AS1;1
20;41098019;41138003;-1;39984;ENSG00000226648;PLCG1-AS1;6
6;112236093;112307009;1;70916;ENSG00000226440;LAMA4-AS1;9
6;99993934;100107613;1;113679;ENSG00000229315;MCHR2-AS1;9
11;19978699;19981337;-1;2638;ENSG00000254542;NAV2-AS3;1
14;89576216;89577477;1;1261;ENSG00000259073;FOXN3-AS2;1
10;18001786;18010562;-1;8776;ENSG00000226083;SLC39A12-AS1;2
11;19510890;19519896;-1;9006;ENSG00000254622;NAV2-AS4;1
11;14262846;14273691;-1;10845;ENSG00000254418;SPON1-AS1;1
12;10363638;10398506;1;34868;ENSG00000245648;KLRK1-AS1;6
11;19196775;19281426;1;84651;ENSG00000255308;CSRP3-AS1;1
5;20305565;20347972;1;42407;ENSG00000249854;CDH18-AS1;3
6;104864464;104941447;-1;76983;ENSG00000203809;LIN28B-AS1;7
X;41520036;41522336;1;2300;ENSG00000233033;CASK-AS1;1
18;31343368;31426988;-1;83620;ENSG00000266729;DSG1-AS1;4
12;27389789;27446625;-1;56836;ENSG00000245311;ARNTL2-AS1;1
19;15124160;15126174;1;2014;ENSG00000268564;ILVBL-AS1;1
21;37187666;37193926;-1;6260;ENSG00000228677;TTC3-AS1;1
5;38399814;38403471;-1;3657;ENSG00000248572;EGFLAM-AS2;5
15;40250664;40252969;-1;2305;ENSG00000176753;PAK6-AS1;2
20;19242302;19284596;-1;42294;ENSG00000179447;SLC24A3-AS1;1
12;45050901;45103107;1;52206;ENSG00000257319;DBX2-AS1;1
11;26285578;26331289;-1;45711;ENSG00000254819;ANO3-AS1;1
10;124703625;124714217;1;10592;ENSG00000233334;FAM53B-AS1;3
10;101229577;101270148;1;40571;ENSG00000227128;LBX1-AS1;6
10;99927010;99959050;1;32040;ENSG00000227695;DNMBP-AS1;4
11;19710934;19712619;-1;1685;ENSG00000270607;NAV2-AS6;1
X;153735626;153766478;-1;30852;ENSG00000232725;PLXNB3-AS1;2
6;100427118;100437484;1;10366;ENSG00000228082;SIM1-AS1;1
22;41831215;41834665;-1;3450;ENSG00000184068;SREBF2-AS1;1
11;27047186;27220113;-1;172927;ENSG00000254560;BBOX1-AS1;5
14;22918947;22926900;1;7953;ENSG00000237054;PRMT5-AS1;7
11;19502672;19507229;-1;4557;ENSG00000255043;NAV2-AS5;2
20;62663019;62666724;-1;3705;ENSG00000232803;SLCO4A1-AS1;3
10;104323369;104327004;1;3635;ENSG00000228261;ITPRIP-AS1;1
6;125797856;125818858;-1;21002;ENSG00000232131;NCOA7-AS1;1
20;62800627;62805587;-1;4960;ENSG00000229873;OGFR-AS1;1
12;53993810;53996785;-1;2975;ENSG00000250133;HOXC-AS2;2
6;70412828;70413950;-1;1122;ENSG00000224349;FAM135A-AS1;1
X;153880672;153888990;1;8318;ENSG00000273769;L1CAM-AS1;1
10;116670034;116672750;1;2716;ENSG00000232767;HSPA12A-AS1;2
5;37811589;37953827;1;142238;ENSG00000248587;GDNF-AS1;6
20;3888239;3888868;-1;629;ENSG00000229539;PANK2-AS1;1
9;33166948;33182865;1;15917;ENSG00000233554;B4GALT1-AS1;3
8;78268637;78558503;-1;289866;ENSG00000254266;PKIA-AS1;5
5;83531352;83581320;-1;49968;ENSG00000249835;VCAN-AS1;2
X;153969325;153970087;1;762;ENSG00000235802;HCFC1-AS1;1
8;86333274;86343429;-1;10155;ENSG00000254231;WWP1-AS1;3
11;27506830;27698231;1;191401;ENSG00000245573;BDNF-AS;55
20;316860;348490;-1;31630;ENSG00000225377;NRSN2-AS1;4
15;58434890;58498735;-1;63845;ENSG00000259293;LIPC-AS1;1
12;49951512;49962924;-1;11412;ENSG00000257588;AQP5-AS1;3
14;23511760;23560778;1;49018;ENSG00000157306;ZFHX2-AS1;5
8;85440596;85464915;-1;24319;ENSG00000253549;CA3-AS1;8
12;53999022;54000010;-1;988;ENSG00000250451;HOXC-AS1;2
8;71828167;72118393;1;290226;ENSG00000235531;MSC-AS1;14
4;15004942;15427914;-1;422972;ENSG00000249252;C1QTNF7-AS1;2
X;107512983;107545821;-1;32838;ENSG00000227610;FRMPD3-AS1;1
14;23561097;23568073;1;6976;ENSG00000258727;AP1G2-AS1;1
5;80947694;80960907;-1;13213;ENSG00000251450;RASGRF2-AS1;4
4;10006482;10009725;1;3243;ENSG00000250413;SLC2A9-AS1;1
6;116460739;116463692;-1;2953;ENSG00000244158;CALHM6-AS1;1
X;103626076;103626492;-1;416;ENSG00000224031;TCEAL3-AS1;1
X;103687284;103691772;1;4488;ENSG00000231154;MORF4L2-AS1;1
2;3481242;3482409;-1;1167;ENSG00000225234;TRAPPC12-AS1;1
19;18940235;18947452;1;7217;ENSG00000269019;HOMER3-AS1;1
X;49198966;49202454;1;3488;ENSG00000237341;SYP-AS1;1
14;93067452;93072152;1;4700;ENSG00000258730;ITPK1-AS1;1
8;73420004;73441526;1;21522;ENSG00000253302;STAU2-AS1;2
22;29024999;29031476;-1;6477;ENSG00000177993;ZNRF3-AS1;1
8;68302246;68331689;-1;29443;ENSG00000248801;C8orf34-AS1;10
X;48056310;48066583;1;10273;ENSG00000277541;ZNF630-AS1;1
12;24223233;24260056;1;36823;ENSG00000256120;SOX5-AS1;18
5;38425036;38427376;-1;2340;ENSG00000249491;EGFLAM-AS1;1
11;47270657;47272110;-1;1453;ENSG00000256746;MADD-AS1;2
10;125574371;125578445;1;4074;ENSG00000237675;TEX36-AS1;2
10;131095218;131095777;1;559;ENSG00000230098;TCERG1L-AS1;1
9;21994139;22128103;1;133964;ENSG00000240498;CDKN2B-AS1;28
8;96235427;96239149;1;3722;ENSG00000254224;UQCRB-AS1;2
11;20119684;20120632;-1;948;ENSG00000254894;NAV2-AS1;1
5;111912508;112017309;1;104801;ENSG00000250095;NREP-AS1;3
20;50930984;50945148;1;14164;ENSG00000259456;ADNP-AS1;4
5;98769618;98773469;-1;3851;ENSG00000246763;RGMB-AS1;8
12;53981509;53985519;-1;4010;ENSG00000251151;HOXC-AS3;4
6;39881804;39900071;-1;18267;ENSG00000235033;DAAM2-AS1;6
12;46371463;46373778;1;2315;ENSG00000258096;SLC38A2-AS1;1
9;74952968;74996293;1;43325;ENSG00000203321;CARNMT1-AS1;1
9;83219288;83238463;1;19175;ENSG00000229109;FRMD3-AS1;4
15;58065225;58071043;1;5818;ENSG00000259285;ALDH1A2-AS1;1
9;12698554;12814377;-1;115823;ENSG00000235448;LURAP1L-AS1;4
7;3264032;3302452;-1;38420;ENSG00000236708;SDK1-AS1;1
15;63544247;63601589;-1;57342;ENSG00000259248;USP3-AS1;15
4;4542131;4787359;1;245228;ENSG00000247708;STX18-AS1;19
10;125725634;125752110;-1;26476;ENSG00000236991;EDRF1-AS1;16
5;111510396;111739726;1;229330;ENSG00000246859;STARD4-AS1;4
12;20361732;20370262;-1;8530;ENSG00000256879;PDE3A-AS1;1
12;79934901;79942712;1;7811;ENSG00000257557;PPP1R12A-AS1;1
5;61732774;61735715;-1;2941;ENSG00000251575;C5orf64-AS1;3
9;68353614;68357893;-1;4279;ENSG00000224958;PGM5-AS1;7
8;73297711;73356461;-1;58750;ENSG00000250295;RDH10-AS1;3
9;77456295;77526697;1;70402;ENSG00000231373;GNA14-AS1;1
6;160990318;160992342;-1;2024;ENSG00000272841;MAP3K4-AS1;1
5;52930606;52990278;-1;59672;ENSG00000249899;ITGA2-AS1;3
5;135033280;135358219;1;324939;ENSG00000224186;PITX1-AS1;6
5;44388732;44413989;1;25257;ENSG00000248464;FGF10-AS1;1
22;23894426;23898930;-1;4504;ENSG00000218537;MIF-AS1;1
4;16226685;16320140;1;93455;ENSG00000263327;TAPT1-AS1;3
10;125972188;125973126;-1;938;ENSG00000233409;FANK1-AS1;1
6;89673469;89675783;1;2314;ENSG00000228124;MDN1-AS1;1
4;1210120;1218591;1;8471;ENSG00000280927;CTBP1-AS;1
20;63744689;63745958;1;1269;ENSG00000229299;ZBTB46-AS2;2
20;63808076;63816521;1;8445;ENSG00000231208;ZBTB46-AS1;1
9;96246462;96250393;1;3931;ENSG00000232283;HSD17B3-AS1;1
7;20141916;20153531;1;11615;ENSG00000228598;MACC1-AS1;1
